n8,n8_descripcion
53,Asociacion Fe Y Alegria Del Ecuador
54,Asociacion France Equateur
55,Asociacion Juvenil Indigenas De Guangaje
56,Asociacion Nacional De Cultivadores De Palma Aceitera
57,Asociacion Nacional De Exportadores De Cafe Anecafe
58,Asociación Nacional De Fabricantes De Alimentos Y Bebidas Anfab
59,Asociacion Por La Paz Y El Desarrollo - Pyd
60,Asociacion Red Internacional De Organizaciones De Salud - Rios
61,Asociacion Solidaridad Y Accion - Asa
62,Asociación Volver A Vivir De Provincia De Esmeralddas
63,Asonic
64,Associacio Catalana D'Enginyeria Sense Fronteres
65,Australian-Latin America Skills Development Pty Ltd - Alata
66,Aves Y Coservacion Fundacion Ecuatoriana Para La Investigacion Y Conservacion De Las Aves Y Sus Habitats
67,Avsi Ecuador
68,Avsi Usa
69,Ayuda Directa Onlus
70,Azimut
71,Banco Central Del Ecuador - Bce
72,Banco De Desarrollo De America Latina
73,Banco De Desarrollo Del Ecuador
74,Banco Del Estado
75,Banco Del Pacifico
76,Banco Interamericano De Desarrollo - Bid
77,Banco Mundial
78,Bioparque Amaru Zoológico
79,Camara De Innovación Y Tecnología Del Ecuador
80,Care Canada
81,Care Ecuador
82,Care Internacional
83,Caritas Ecuador
84,Caritas Portoviejo
85,Carolina Loza
86,Casa De La Cultura Ecuatoriana Benjamin Carrion
87,Catholic Relief Services - Crs
88,Cefa Onlus - Italia
89,Ceiba Foundation For Tropical Conservation
90,Center For Human Services - Chs
91,Central Ecuatoriana De Servicios Agricolas - Cesa
92,Centro Americano Para La Solidaridad Laboral Internacional - Acils
93,Centro De Apoyo Y Proteccion De Los Derechos Humanos
94,Centro De Desarrollo Y Autogestion - Dya
95,Centro De Orientamiento Educativo - Coe
96,Centro De Planificacion Y Estudios Sociales - Ceplaes
97,Centro Diurno Para El Adulto Mayor
98,Centro Ecuatoriano De Desarrollo Y Estudios Alternativos - Cedeal
99,Centro Ecuatoriano Para La Promocion Y Accion De La Mujer - Cepam
100,Centro Internacional De La Papa
101,Centro Internacional Para La Investigacion Del Fenomeno El Niño - Ciifen
102,Centro Latinoamericano Para El Desarrollo Rural Rimisp
103,Centro Regionale D' Intervento Per La Cooperazione - Cric
104,Charity Anywhere Foundation
105,Childfund International - Usa
106,Children Of The Andes Humanitarian - Cotah
107,Christoffel Blindenmission International - Cbm
108,Club Deportivo Luis Chocho
109,Comando Conjunto De Las Fuerzas Armadas
110,Comision Ecumenica De Derechos Humanos - Cedhu
111,Comision Europea
112,Comitato Internazionale Per Lo Sviluppo Dei Popoli - Cisp
113,Comite Permanente Por La Defensa De Los Derechos Humanos
114,Comuna Armero
115,Comunidad De Religiosas Adoratrices Esclavas Del Santísimo Sacramento Y De La Caridad
116,Comunidad Kichwa Campococha
117,Comunidad Pesillo
118,Comunidad San Pablo
119,Conadis
120,Conceptum Marketing Y Publicidad
121,Conectados Ecuador
122,Confederacion Alemana De Cooperativas - Dgrv
123,Confederación Comarca Afrodescendiente Del Norte De Esmeraldas
124,Confederacion Comarca Afroecuatoriana Del Norte De Esmeraldas
125,Confederacion De Nacionalidades Indigenas Del Ecuador - Conaie
126,Confederacion Del Pueblo Kayambi
127,Confie
128,Congregacion De Madres Doroteas
129,Congregacion De Padres Josefinos
130,Consejo De Gobierno Del Régimen Especial De Galápagos (Cgreg)
131,Consejo De La Judicatura
132,Consejo Nacional Para La Igualdad De Discapacidades
133,Consejo Nacional Para La Igualdad De Genero
134,Consejo Noruego Para Refugiados - Nrc
135,Conservation International Foundation
136,Conservatorio Superior Salvador Bustamante Celi
137,Consorcio Artesanal Dulce Organico
138,Consorcio Camaren
139,Consorcio De Gobiernos Provinciales Del Ecuador - Congope
140,Consorcio Gitec
141,Consorcio Mcch Cesa
142,Consorcio Para El Desarrollo Sostenible De La Ecorregion Andina - Condesan
143,Coopera Jovenes Para La Cooperacion Internacional Para El Desarrollo
144,Cooperación Italiana Para El Desarrollo
145,Cooperación Para La Capacitación Y Asistencia Tecnica
146,Cooperativa De Servicios De Comercio Justo Sursiendo Redes Y Sabores
147,Cooperativas Del Pais
148,Cooperazione Internazionale - Coopi
149,Cooperazione Internazionale Sud Sud - Ciss
150,Cooperazione Per Lo Sviluppo Dei Paesi Emergenti (Cooperación Para El Desarrollo De Los Países Emergentes
151,Coordinadora De Radio Popular Educativa Del Ecuador
152,Coordinadora Nacional Campesina Eloy Alfaro - Cnc Eloy Alfaro
153,Coordinadora Nacional Para La Defensa Del Ecosistema Manglar
154,Corazones Valientes Siglo Xxi
155,Corpei
156,Corporación “Instituto Para Las Ciencias Indígenas Pacari
157,Corporacion Alternativa De Desarrollo
158,Corporacion Andina De Fomento - Caf
159,Corporacion Compartir
160,Corporación Coordinadora Nacional Para La Defensa Del Ecosistema Manglar
161,Corporacion Cordinadora Nacional Para La Defensa Del Ecosistema Manglar - Ccondem
162,Corporacion De Asociaciones Comunitarias De Tungurahua
163,Corporación De Promoción De Exportaciones E Inversiones
164,Corporacion De Promocion Economica Conquito
165,Corporacion Esmeraldeña Para La Formacion Y Desarrollo Integral
166,Corporacion Fortaleza Del Valle De Manabi
167,Corporacion Kimirina
168,Corporacion Lideres Para Gobernar
169,Corporacion Nacional De Finanzas Populares Y Solidarias Conafips
170,Corporacion Para El Emprendimiento Y La Innovacion En Ecuador
171,Corporacion Participa
172,Corporacion Promocion De La Mujer
173,Corporacion Soljusticia
174,Corporacion Universitario Estudio Y Trabajo
175,Corredentoras Cuenca
176,Cospe- Cooperacion Para El Desarrollo De Paises Emergentes
177,Cristian Guallpa
178,Cruz Roja Ecuatoriana
179,Damas De Apoyo Juan Montalvo
180,Defensoria Del Pueblo
181,Deutsche Gesellschaft Fur Internationale Zusamemmenarbeit Giz
182,"Direccion General De Registro Civil, Cedulacion E Identificacion"
183,Earthworm Foundation
184,Ecoearth Consulting
185,Ecology Project Internacional
186,"Empresa De Transformación Agraria S.A. , S.M.E., M.P. Tragsa"
187,Empresa Pública Del Agua Epa
188,Empresa Publica Metropolitana De Agua Potable Y Saneamiento - Epmaps
189,Empresa Publica Metropolitana Metro De Quito Epmmq
190,"Empresa Publica Municipal De Telecomunicaciones, Agua Potable, Alcantarillado Y Saneamiento De Cuenca - Etapa"
191,Engim
192,Entidad Operativa Desconcentrada Proyecto De Reconversion De La Educacion Tecnica Y Tecnologica Superior Publica Del Ecuador
193,Escuela Agrícola Panamericana Inc.
194,Escuela Politecnica Del Litoral - Espol
195,Esquel
196,Extreme Response International Inc.
197,Facultad Latinoamericana De Ciencias Sociales - Flacso
198,Fauna Y Flora Internacional - Ffi
199,Federacion De Asociaciones Comunitarias Del Carchi
200,Federacion De Centros Awa Del Ecuador - Fcae
201,Federacion De Mujeres De Sucumbios - Fms
202,Federacion De Organizaciones Comunitarias De Cotopaxi
203,Federacion De Organizaciones Comunitarias De Imbabura
204,Federacion De Organizaciones Cristianas Para El Servicio Internacional Voluntario - Focsiv
205,Federación De Organizaciones De Nacionalidad Kichwa De Sucumbíos Ecuador
206,Federacion De Organizaciones Por La Niñez Y Adolescencia De Pichincha - Fonap
207,Federacion Ecuatoriana De Exportaciones - Fedexpor
208,Federacion Ecuatoriana Del Noroccidente De Pichincha Por El Desarrollo Comunitario
209,Federacion Ecuatoriana Pro Atencion A La Persona Con Deficiencia Mental
210,Federacion Nacional De Ciegos Del Ecuador - Fence
211,Federacion Nacional De Ecuatorianos Con Discapacidad Fisica - Fenedif
212,Federacion Nacional De Personas Sordas Del Ecuador - Fenasec
213,Fernando Soliz Carrion
214,Fian Ecuador
215,Ficvi Colombia
216,Fondazione Acra-Ccs
217,Fondazione Don Carlo Gnocchi - Onlus
218,Fondo De Inversión Ambiental Sostenible
219,Fondo De Las Naciones Unidas Para El Ambiente - Fmam
220,Fondo De Las Naciones Unidas Para La Igualdad De Genero Y El Empoderamiento De Las Mujeres - Onu Mujeres
221,Fondo De Las Naciones Unidas Para La Infancia - Unicef
222,Fondo De Poblacion De Las Naciones Unidas - Unfpa
223,Fondo Del Agua Para La Concervacion De La Cuenca Del Rio Paute
224,Fondo Ecuatoriano Populorum Progressio - Fepp
225,Fondo Para La Conservacin De La Cuenca Del Ro Paute
226,Fondo Para La Proteccion Del Agua - Fonag
227,Fondo Paramos Tungurahua
228,Fondo Regional Del Agua - Foragua
229,France Agrimer
230,Fraternidad De Alianza Toca De Asis
231,Frente De Defensa De La Amazonia - Fda
232,Fundacin El Churo
233,Fundacin Heifer Ecuador
234,Fundacin Terranueva
235,Fundacion A Favor De Los Derechos Ciudadanos - Prodeci
236,Fundacion Accion Solidaria
237,Fundacion Alas De Colibri
238,Fundacion Alemana Cajas De Ahorro Para La Cooperacion Internacional
239,Fundacion Alianza Ceide
240,Fundacion Alianza En El Desarrollo
241,Fundacion Alli Causai
242,Fundación Alpina
243,Fundacion Amiga
244,Fundacion Amigos De Las Americas
245,Fundación Asociación Latinoamericana Para El Desarrollo Alternativo - Aldea
246,Fundacion Avina
247,Fundacion Avsi
248,Fundacion Ayuda En Accion
249,Fundacion Bariloche
250,Fundacion Casa De Refugio Matilde
251,Fundacion Central Ecuatoriana De Servicios Agrícolas
252,Fundacion Centro De Investigaciones Interculturales Y Desarrollo Ecologico Cultural Guanchuro
253,Fundacion Chankuap
254,Fundación Chankuap
255,Fundacion Charles Darwin
256,Fundación Charles Darwin
257,Fundacion Codespa
258,Fundacion Comercio Para El Desarrollo
259,Fundacion Creando Futuro
260,Fundación Datalat
261,Fundacion De Ayuda Contra La Drogadiccion - Fad
262,Fundacion De Conservacion Jocotoco
263,Fundacion De Culturas Indigenas Kawsay
264,Fundacion De Desarrollo Social Afroecuatoriana Azucar
265,Fundacion De Las Americas Para El Desarollo
266,Fundacion De Mujeres Luna Creciente
267,Fundacion De Waal
268,Fundacion Discapacidad Y Desarrollo
269,Fundacion Donald Kenny
270,Fundacion Donum
271,Fundacion Dunamis
272,Fundacion Ecologica Rikcharina - Fer
273,Fundacion Ecuatoriana De Olimpiadas Especiales
274,Fundacion Ecuatoriana Equidad
275,Fundacion Educativa Monseñor Candido Rada
276,Fundacion El Churo
277,Fundacion El Valor De La Vida
278,Fundación Emprendimientos Para Las Oportunidades Sostenibles - Fuegos
279,Fundacion Heifer Ecuador
280,Fundacion Idea Dignidad
281,Fundacion Instituto De Paralisis Cerebral
282,Fundación Internacional Para La Promoción De La Salud - Fimrc
283,Fundación Jóvenes Para El Futuro
284,Fundacion Juntos Con Los Niños
285,Fundación Kawsayta Awashun
286,Fundacion Lunita Lunera
287,Fundacion Maquita Cushunchic Comercializando Como Hermanos - Mcch
288,Fundacion Mujer De Luz
289,Fundacion Naturaleza Y Cultura Ecuador
290,Fundacion Niñez Internacional
291,Fundacion Niñez Y Vida
292,Fundacion Niños De Waita Ticca
293,Fundacion Nos Necesitan Jacinta Y Francisco
294,Fundacion Otonga
295,Fundación Padre Damian
296,Fundacion Pan De Vida
297,Fundacion Para El Avance De Las Reformas Y Las Oportunidades - Grupo Faro
298,Fundacion Para El Desarrollo De Alternativas Comunitarias De Conservacion Del Tropico Altropico
299,Fundacion Para La Investigacion Y Desarrollo Social
300,Fundacion Para La Rehabilitacion Integral De Victimas De Violencia Priva
301,Fundacion Plan Ecuador
302,Fundacion Prodeci A Favor De Los Derechos Ciudadanos
303,Fundacion Proyecto Salesiano Chicos Trabajadores De La Calle
304,Fundacion Proyecto Salesiano Guayaquil
305,Fundación Proyecto Salesiano Guayaquil
306,Fundacion Regional De Asesoria En Derechos Humanos - Inredh
307,Fundacion Rescate
308,Fundacion Rururbana
309,Fundacion Salud Ambiente Y Desarrollo
310,Fundación Santa Maria De La Esperanza
311,Fundacion Scalesia
312,Fundacion Sembrar
313,Fundación Sembrar
314,Fundacion Servicios Para Un Desarrollo Alternativo Del Sur - Sendas
315,Fundacion Sirua
316,Fundacion Somos Ecuador
317,Fundacion Somos Familia
318,Fundacion Suiza De Cooperacion Al Desarrollo - Swissaid
319,Fundacion Suiza De Cooperacion Para El Desarrollo Tecnico - Swisscontact
320,Fundacion Tapori
321,Fundacion Tarabita
322,Fundacion Tecnalia
323,Fundación Tecnalia
324,Fundacion Terranueva
325,Fundacion Tierra Nueva
326,Fundacion Ulla Brita Palm
327,Fundación Un Presente Diferente
328,Fundacion Verde Milenio
329,Fundacion Vision Mundial Ecuador
330,Fundacioón Alejandro Labaka
331,Funder
332,Gad De Pedro Moncayo
333,Gad Municipal De Cotacachi - Provincia Imbabura
334,Gad Municipal De Cuenca
335,Gad Municipal De Cuenca - Provincia Azuay
336,Gad Municipal De Esmeraldas - Provincia Esmeraldas
337,Gad Municipal De Guayaquil
338,Gad Municipal De Guayaquil - Provincia Guayas
339,Gad Municipal De Ibarra - Provincia Imbabura
340,Gad Municipal De Isabela - Provincia Galapagos
341,Gad Municipal De Manta - Provincia Manabí
342,Gad Municipal De Montufar
343,Gad Municipal De Montufar - Provincia Carchi
344,Gad Municipal De Otavalo - Provincia Imbabura
345,Gad Municipal De Pedro Moncayo - Provincia Pichincha
346,Gad Municipal De Portoviejo - Provincia Manabí
347,Gad Municipal De Pucara - Provincia Azuay
348,Gad Municipal De Riobamba - Provincia Chimborazo
349,Gad Municipal De San Lorenzo - Provincia Esmeraldas
350,Gad Municipal De San Miguel - Provincia Bolivar
351,Gad Municipal De Santa Ana De Cotacachi Imbabura
352,Gad Municipal De Santa Cruz - Provincia Galapagos
353,Gad Municipal De Santa Isabel - Provincia Azuay
354,Gad Municipal Del Distrito Metropolitano De Quito - Provincia Pichincha
355,Gad Municipal Loja - Provincia Loja
356,Gad Provincia Del Carchi
357,Gad Provincial De Azuay
358,Gad Provincial De Carchi
359,Gad Provincial De Chimborazo
360,Gad Provincial De Esmeraldas
361,Gad Provincial De Guayas
362,Gad Provincial De Imbabura
363,Gad Provincial De Napo
364,Gad Provincial De Pichincha
365,Gad Provincial De Sucumbios
366,Gad Provincial De Zamora Chinchipe
367,Galapagos Conservancy
368,Galapagos Ice Organization
369,Galapagos Pro
370,Global Conservation Fund
371,Grid Arendal
372,Grupo Allpa
373,Grupo De Mujeres Emprendedoras Serviprod Idsa
374,Grupo Eco Cultural Organizado
375,Hebrew Immigrant Aid Society
376,Hermanas De La Madre Laura
377,Hermanas De La Providencia
378,Hermanas Del Ángel De La Guarda
379,Hermanas Ursulinas Proyecto La Bota
380,Hhijas De Los Sagrados Corazones
381,Hospital San Jose Obrero
382,Iglesia Evangelica Menonita Ecuatoriana
383,Indeslae
384,Instituto De Ecologia Y Desarrollo De Las Comunidades Andinas - Iedeca
385,Instituto De Estudios Ecuatorianos - Iee
386,Instituto De Investigación Geológico Y Energético Iige
387,Instituto De La Democracia
388,Instituto Humanista Para La Cooperacion Con Los Paises En Desarrollo - Hivos
389,Instituto Interamericano De Cooperacion Para La Agricultura - Iica
390,Instituto Metropolitano De Patrimonio Cultural De Quito
391,Instituto Nacional De Economia Popular Y Solidaria
392,Instituto Nacional De Eficiencia Energetica Y Energias Renovables
393,Instituto Nacional De Estadisticas Y Censos - Inec
394,Instituto Nacional De Investigación Geológica Minera Y Metalúrgica - Inigemm
395,Instituto Nacional De Investigaciones Agropecuarias - Iniap
396,Instituto Nacional De Meteorología E Hidrología
397,Instituto Nacional De Patrimonio Cultural - Inpc
398,Instituto Nacional De Pesca - Inp
399,Instituto Nazca De Investigaciones Marinas
400,Instituto Republicano Internacional
401,Instituto Superior Tecnológico Crecermas
402,Instituto Tecnolgico De La Produccion
403,Instituto Tecnológico Superior El Oro
404,Instituto Tecnológico Superior Luis Arboleda Martínez
405,International Rescue Committee
406,Island Conservation
407,Istituto Ecuatoriano De Seguridad Social - Iess
408,Jambatu
409,Johanna Vidal
410,Johnny Viteri Andrade
411,Jóvenes Para La Cooperación Internacional Al Desarrollo
412,Jovens Para La Cooperacion Internacional
413,Junta Administradora Agua Casa Quemada
414,Junta Administradora De Agua Huayra Pungo
415,Junta Administradora De Agua Potable Campamento
416,Junta Administradora De Agua Potable Quiloa
417,Korea University Of Technology And Education
418,Kreditanstalt Für Wiederaufbau - Kfw
419,"Liga De Cooperativas De Los Estados Unidos De América, Ncba Clusa"
420,Los Amigos De Jesus
421,Mancomunidad Del Norte Del Ecuador
422,Manna Project International
423,Manuelita Saenz
424,Maria Cristina Puente
425,Maria Del Carmen Constante
426,Médicos Por El Mundo
427,Mega Mujeres
428,"Ministerio De Agricultura, Ganaderia, Acuacultura Y Pesca - Magap"
429,Ministerio De Coordinacion De Sectores Estrategicos - Micse
430,Ministerio De Cultura Y Patrimonio
431,Ministerio De Defensa - Midena
432,Ministerio De Desarrollo Urbano Y Vivienda - Miduvi
433,Ministerio De Economia Y Finanzas - Mef
434,Ministerio De Educacion - Minedu
435,Ministerio De Educacion De La Republica Popular De China
436,Ministerio De Electricidad Y Energia Renovable - Meer
437,Ministerio De Energia Y Recursos Naturales No Renovables
438,Ministerio De Energía Y Recursos Naturales No Renovables
439,Ministerio De Finanzas
440,Ministerio De Gobierno
441,Ministerio De Inclusion Economica Y Social - Mies
442,Ministerio De Industrias Y Productividad - Mipro
443,"Ministerio De Justicia, Derechos Humanos Y Cultos"
444,Ministerio De Mineria
445,Ministerio De Produccion Comercio Exterior Inversiones Y Pesca
446,"Ministerio De Producción, Comercio Exterior, Inversiones Y Pesca"
447,Ministerio De Recursos Naturales No Renovables
448,Ministerio De Relaciones Exteriores Y Movilidad Humana Mremh
449,Ministerio De Salud Publica - Msp
450,Ministerio De Telecomunicaciones Y Sociedad De La Informacion - Mintel
451,Ministerio De Trabajo
452,Ministerio De Transporte Y Obras Publicas - Mtop
453,Ministerio Del Ambiente - Maate
454,Ministerio Del Interior
455,Mision Alianza Noruega - Mane
456,Mision Remanso De Amor Comunnity Church
457,Mision Scalabriniana
458,Misioneras Corredentoras De Cutuglahua
459,Misioneras De María Inmaculada Y Santa Catalina De Sena
460,Movimiento Indigena Y Campesino De Cotopaxi - Micc
461,Municipio Di San Bnedetto Deltronto
462,Myriam Pozo
463,Nacionalidad Waorani Ecuador
464,National Democratic Institute - Ndi
465,Naturaleza Y Cultura Internacional
466,Nstitute For International Cooperation Of The Deutscher Volkshochschul-Verband E.V.
467,Oficina De Las Naciones Unidas Contra La Droga Y El Delito-Unodc
468,Onu Mujeres
469,Onumujeres
470,Organismo De Voluntariado Para La Cooperacion Internacional La Nostra Famiglia - Ovci
471,Organización De Comunidades Kichwa De Loreto
472,Organizacion De Estados Iberoamericanos Para La Educacion La Ciencia Y La Cultura
473,"Organizacion De Estados Iberoamericanos Para La Educacion, Ciencia Y La Cultura - Oei"
474,Organizacion De Las Naciones Unidas Para El Desarrollo Industrial - Onudi
475,Organizacion De Las Naciones Unidas Para La Agricultura Y La Alimentacion - Fao
476,"Organizacion De Las Naciones Unidas Para La Educacion, La Ciencia Y La Cultura - Unesco"
477,Organizacion De Mujeres Indigenas Y Campesinas Sembrando Esperanza
478,Organizacion Hebrea De Ayuda A Inmigrantes Y Refugiados - Hias
479,Organizacion Internacional Del Trabajo - Oit
480,Organizacion Internacional Para Las Migraciones - Oim
481,Pa'Arriba Foundation
482,Pamela Olmedo
483,Pan American Development Foundation Inc Padf
484,Parque Nacional Galapagos - Png
485,Pastoral Social Caritas
486,Pastoral Social De Loja
487,Patricia Barragan
488,Paula Guerra
489,Plan Internacional Inc.
490,Policia Nacional
491,Pontificia Universidad Catolica Del Ecuador - Puce
492,Pontificia Universidad Catolica Del Ecuador Sede Esmeraldas
493,Por Cristo Inc
494,Presidencia De La Republica
495,Programa De Las Naciones Unidas Para El Desarrollo - Pnud
496,Programa De Solidaridad Y Cooperacion Internacional Del Municipio De Barcelona Catalunya
497,Programa Mundial De Alimentos - Pma
498,Progreso Peru
499,Prosud - Instituto Proyecto Sur -Instituto Sindical Para La Cooperacion Con Los Paises En Vias Desarrollo Promovido Por La Unión Italiana Del Trabajo - Uil
500,Protos Ecuador
501,Pueblo Kayambi
502,Red Asociativa De Productores De Cafe De Imbabura – Rapcic
503,Red De Mujeres Grameen De Los Derechos Economicos Sociales Y Culturales
504,Red De Organizaciones Sociales Y Comunitarias Del Ecuador
505,Red Internacional De Educacion (Rie)
506,Red Internacional Del Bambu Y El Ratan
507,Red Internacional Del Bambú Y El Ratán - Inbar
508,Red Latinoamericana De Organizaciones No Gubernamentales De Personas Con Discapacidad Y Sus Familias - Riadis
509,Red Nacional De Recicladores De Ecuador
510,Reed For Early Movers Kfw
511,Religiosas Adoratrices
512,Reserva Orquideologica El Pahuma
513,Ret International
514,Riadis
515,Rikolto International
516,Runapac Ricchari
517,Rural Development Administration A Través Del Centro Kopia-Ecuador
518,Salem International
519,Santiago David Revelo Aguilar
520,Save The Chldren International
521,Sea Shepherd Conservation Society
522,Secretaria De Educacion Superior Ciencia Tecnologia E Innovacion - Senescyt
523,Secretaria De Gestion De Riesgos
524,Secretaria De La Presidencia De La Republica
525,Secretaria Del Agua
526,Secretaria Nacional De Gestion De Riesgos - Sngr
527,Secretaria Nacional De Planificacion Y Desarrollo - Senplades
528,Secretaria Nacionald El Agua - Senagua
529,Secretaria Tecnica Del Plan Toda Una Vida
530,Secretaría Técnica Plan Todo Una Vida
531,Segundo Guayllas
532,Sendas
533,Sernanp-Perú
534,Servicio De Rentas Internas - Sri
535,Servicio Ecuatoriano De Capacitacion Profesional - Secap
536,Servicio Jesuita A Refugiados - Sjr
537,Servicio Nacional De Contratacion Publica - Sercop
538,Servicio Nacional De Gestion De Riesgos Y Emergencias
539,Servicio Para Un Desarrollo Alternativo Del Sur
540,Servidoras Del Señor Y De La Virgen Del Matara
541,Siervas Del Santuario La Magdalena
542,Sistema Coca Cola Ecuador
543,Sistema De Investigacion Sobre La Problematica Agraria Del Ecuador - Sipae
544,Sistema Nacional De Educacion A Distancia Monseñor Leonidas Proaño
545,Sociedad De Amigos Del Niño Ecuatoriano
546,Sociedad De Amigos Del Niño Ecuatoriano-Sane
547,Superintendencia De Bancos Y Seguros
548,Superintendencia De Compañias Valores Y Seguros
549,Superintendencia De Economia Popular Y Solidaria
550,Surkuna
551,Sustainable Fisheries Partnership
552,Swisscontact
553,Teach Learn Ecuador
554,Technopolis
555,Terres Des Hommes
556,The Condor Trust For Education
557,The Forest Trust Tft
558,The Foundation For The Refugee Education Trust
559,The Mines Advisory Group
560,The Nature Conservancy - Tnc
561,The Vibrant Village Foudation
562,Trias
563,"Unesco Organización De Las Naciones Unidas Para La Educación, La Ciencia Y La Cultura"
564,Unicef
565,Unidad Canina De Vida Silvestre - Policia Nacional
566,Unidad De Policia Del Medio Ambiente - Upma
567,Unidad De Proteccin Del Medio Ambiente
568,Union De Afectados Por El Caso Texaco Chevron
569,Unión De Organizaciones Campesinas De Esmeraldas
570,Unión De Organizaciones Campesinas E Indígenas De Cochasqui Pedro Moncayo Uccopem
571,Union De Organizaciones Campesinas E Indigenas De Cotacachi-Unoarc
572,Unión De Organizaciones Campesinas Indígenas De Cotacachi
573,Union De Organizaciones Campesinas Noroccidente De Sigchos Unocs Siigchos
574,Union De Organizaciones De Productores De Cacao Arriba Esmeraldas Uoprocae
575,Union Europea
576,Unión Internacional Para La Conservación De La Naturaleza
577,United Nations Office For Project Services
578,Universidad Central Del Ecuador
579,Universidad De Cuenca
580,Universidad De Investigacion De Tecnologia Experimental Yachay
581,Universidad Estatal Amazonica
582,Universidad Oberta De Catalunya
583,Universidad Regional Amazónica Ikiam
584,Universidad San Francisco De Quito - Usfq
585,Universidad Tecnica De Ambato
586,Universidad Tecnica Del Norte
587,Upec Creativa Ep
588,Vicariato Apostolico De Esmeraldas - Vae
589,Vicariato Apostolico De Puyo
590,Vicariato Apostolico De San Miguel De Sucumbios. Mision Carmelita.
591,Vicariato De Sucumbios
592,Vredeseilanden Country Office - Veco Ecuador
593,Wildaid Inc
594,Wildaid Inc.
595,Wildlife Conservation Society - Wcs
596,World Council Of Credit Unions
597,World Learning
598,World Teach
599,World Vision Internacional Wvi
600,World Vision International Wvi
601,World Wildlife Fund - Wwf
602,Yachay Ep
