n2,n2_descripcion,,,,,
53,Asegurar la participación plena de la mujer e igualdad oportunidades.,,,,,
54,Asegurar el acceso salud sexual y reproductiva y derechos reproductivos.,,,,,
55,Asegurar la igualdad de derechos a los recursos económicos.,,,,,
56,Mejorar el uso de tecnología y TIC.,,,,,
57,Aprobar políticas y leyes para la igualdad y el empoderamiento.,,,,,
58,Lograr el acceso a agua potable.,,,,,
59,Lograr el acceso a servicios de saneamiento e higiene.,,,,,
60,Mejorar la calidad de agua. Reducir la contaminación y aguas residuales.,,,,,
61,Aumentar el uso eficiente de recursos hídricos (extracción de agua dulce).,,,,,
62,Implementar la gestión integral de recursos hídricos.,,,,,
63,Protección de los ecosistemas relacionados con agua.,,,,,
64,Fomentar la creación de capacidades de gestión.,,,,,
65,Apoyar la participación de las comunidades locales.,,,,,
66,Garantizar acceso universal a energía.,,,,,
67,Aumento de las energías renovables.,,,,,
68,Duplicar la tasa de eficiencia energética.,,,,,
69,Aumento de la investigación e inversión en energías limpias.,,,,,
70,Ampliar la infraestructura y tecnología en países en desarrollo.,,,,,
71,Mantenimiento del crecimiento económico.,,,,,
72,Elevar la productividad a través de la diversificación  tecnología e innovación.,,,,,
73,Fomento de pequeña y mediana empresa.,,,,,
74,Mejora de la producción y consumo eficiente y respetuoso.,,,,,
75,Lograr el pleno empleo y trabajo decente.,,,,,
76,Reducción de los jóvenes sin trabajo ni estudios.,,,,,
77,Erradicación la esclavitud trata y trabajo infantil.,,,,,
78,Protección de los derechos laborales y trabajo seguro.,,,,,
79,Promoción el turismo sostenible.,,,,,
80,Fortalecimiento la capacidad de las instituciones financieras.,,,,,
81,Aumento ayuda para el comercio en países en desarrollo.,,,,,
82,Desarrollo de la estrategia mundial para empleo juvenil.,,,,,
83,Desarrollo de Infraestructura sostenible.,,,,,
84,Promoción de industria inclusiva y sostenible.,,,,,
85,Aumento del acceso PYMES a servicios financieros y cadenas de valor.,,,,,
86,Modernización de la infraestructura tecnología limpia.,,,,,
87,Aumento de la investigación científica  capacidad tecnológica.,,,,,
88,Apoyo a infraestructuras sostenibles y resilientes.,,,,,
89,Desarrollo de la tecnología investigación e innovación.,,,,,
90,Aumento del acceso a TIC e Internet.,,,,,
91,Crecimiento de Ingresos del 40% población pobre.,,,,,
92,Promoción de la Inclusión social económica y política.,,,,,
93,Garantizar la igualdad de oportunidades.,,,,,
94,Adopción de políticas fiscales salariales y de protección social.,,,,,
95,Mejorar de la regulación de los mercados financieros mundiales.,,,,,
96,Participación de países en desarrollo en IFIs y OOII.,,,,,
97,Facilitar la migración y políticas migratorias ordenadas.,,,,,
98,Aplicación del principio del trato especial y diferenciado (OC).,,,,,
99,Fomento de corrientes financieras para países en desarrollo.,,,,,
100,Reducción de costes de Remesas.,,,,,
101,Asegurar el acceso a la vivienda.,,,,,
102,Proporcionar el acceso a transporte público.,,,,,
103,Aumento de la urbanización inclusiva y sostenible.,,,,,
104,Protección del patrimonio cultural y natural.,,,,,
105,Reducción del número de muertes por desastres y reducción de vulnerabilidad.,,,,,
106,Reducción del impacto ambiental en ciudades.,,,,,
107,Proporcionar el acceso a zonas verdes y espacios públicos seguros.,,,,,
108,Apoyo a vínculos zonas urbanas periurbanas y rurales.,,,,,
109,Aumento de la reducción de riesgos de desastres en ciudades.,,,,,
110,Apoyo a la construcción de edificios sostenibles y resilientes en PAs.,,,,,
111,Aplicación marco de consumo y producción sostenibles .,,,,,
112,Lograr el uso eficiente de recursos naturales.,,,,,
113,Reducción del desperdicio de alimentos.,,,,,
114,Gestión de deshechos y productos químicos.,,,,,
115,Prevención reducción reciclado y reutilización de desechos.,,,,,
116,Adopción de prácticas sostenibles en empresas.,,,,, 
117,Adquisiciones públicas sostenibles.,,,,,
118,Asegurar la educación para el Desarrollo Sostenible.,,,,,
119,Fortalecimiento de ciencia y tecnología para sostenibilidad.,,,,,
120,Lograr turismo sostenible.,,,,,
121,Regulación de subsidios a combustibles fósiles.,,,,,
122,Fortalecimiento de la resiliencia y adaptación.,,,,,
123,Incorporación del cambio climático en políticas estrategias y planes nacionales.,,,,,
124,Mejora de la Educación y sensibilización medioambiental.,,,,,
125,Movilización de recursos económicos.,,,,,
126,Gestión cambio climático en los países menos avanzados.,,,,,
127,Prevención y reducción de la contaminación marina.,,,,,
128,Gestión ecosistemas marinos y costeros.,,,,,
129,inimización de la acidificación de océanos.,,,,,
130,Regulación de la explotación pesquera sostenible.,,,,,
131,Conservación zonas costeras y marinas.,,,,,
132,Combatir la pesca ilegal y excesiva.,,,,,
133,Aumento de los beneficios económicos de la pesca sostenible.,,,,,
134,Apoyo a la investigación y tecnología marina.,,,,,
135,Fomento de la pesca a pequeña escala y artesanal.,,,,,
136,Aplicación Convención de NNUU sobre el Derecho del Mar.,,,,,
137,Asegurar la Conservación y uso sostenibles de los ecosistemas.,,,,,
138,Gestión sostenibles de bosques.,,,,,
139,Lucha contra la desertificación.,,,,,
140,Asegurar la conservación ecosistemas montañosos.,,,,,
141,Medidas contra la degradación y pérdida de biodiversidad.,,,,,
142,Acceso y uso adecuado de los recursos genéticos.,,,,,
143,Combatir la caza furtiva y especies protegidas.,,,,,
144,Prevención de especies invasoras.,,,,,
145,Integración de planes sensibles a medioambiente.,,,,,
146,Movilización y aumento de los recursos financieros.,,,,,
147,Aumento de recursos para gestión forestal.,,,,,
148,Apoyar la lucha contra caza furtiva .,,,,,
149,Reducción de todas las formas de violencia.,,,,,
150,Erradicación del maltrato trata y explotación infantil.,,,,,
151,Promoción del Estado de Derecho acceso a justicia.,,,,,
152,Reducción de las Corrientes financieras y de armas ilícitas.,,,,,
153,Reducción de la corrupción y soborno.,,,,,
154,Creación de instituciones eficaces y transparentes.,,,,,
155,Fomento de la participación ciudadana.,,,,,
156,Fortalecimiento de la participación países en desarrollo en OOII.,,,,,
157,Proporción de identidad jurídica y registro de nacimientos.,,,,,
158,Acceso a información y libertades fundamentales.,,,,,
159,Fortalecimiento instituciones en prevención de la violencia.,,,,,
160,Promoción y aplicación de leyes y políticas (DDHH),,,,,
161,Movilización de recursos domésticos para recaudación fiscal.,,,,,
162,Cumplimiento del 07% AOD.,,,,,
163,Movilización de recursos financieros adicionales.,,,,,
164,Reestructuración de la Deuda.,,,,,
165,Promoción de inversiones en países menos adelantados.,,,,,
166,Mejora del traspaso de tecnología.,,,,,
167,Promoción de tecnologías ecológicamente racionales.,,,,,
168,Creación de banco de tecnología.,,,,,
169,Refuerzo de capacidades de implementación ODS.,,,,,
170,Promoción de comercio multilateral universal.,,,,,
171,Aumento de las exportaciones de países en desarrollo.,,,,,
172,Acceso a mercado para países en desarrollo.,,,,,
173,Aumento de la estabilidad macroeconómica mundial.,,,,,
174,Mejora de la coherencia de políticas.,,,,,
175,Respeto a la Soberanía nacional.,,,,,
176,Mejorar la Alianza Mundial para el desarrollo sostenible.,,,,,
177,Fomento de alianzas público-privadas.,,,,,
178,Creación de capacidad estadística.,,,,,
179,Promoción de indicadores que vayan más allá del PIB.,,,,,
